skill_id,skills,count,title
4148,Data Analysis,1,Data Scientist at SeatGeek
4149,Python,1,Data Scientist at SeatGeek
4150,SQL,1,Data Scientist at SeatGeek
4151,Java,0,Data Scientist at SeatGeek
4152,C++,0,Data Scientist at SeatGeek
4153,Public Speaking,1,Data Scientist at SeatGeek
4154,Data Analysis,41,Data Scientist - Vice President Primary Research at Deutsche Bank
4155,Research,33,Data Scientist - Vice President Primary Research at Deutsche Bank
4156,Leadership,23,Data Scientist - Vice President Primary Research at Deutsche Bank
4157,Project Management,11,Data Scientist - Vice President Primary Research at Deutsche Bank
4158,Start-ups,10,Data Scientist - Vice President Primary Research at Deutsche Bank
4159,Machine Learning,9,Data Scientist - Vice President Primary Research at Deutsche Bank
4160,Editing,3,Data Scientist - Vice President Primary Research at Deutsche Bank
4161,Economics,3,Data Scientist - Vice President Primary Research at Deutsche Bank
4162,Equities,5,Data Scientist - Vice President Primary Research at Deutsche Bank
4163,Portfolio Management,5,Data Scientist - Vice President Primary Research at Deutsche Bank
4164,Entrepreneurship,4,Data Scientist - Vice President Primary Research at Deutsche Bank
4165,Business Analysis,1,Data Scientist - Vice President Primary Research at Deutsche Bank
4166,Finance,4,Data Scientist - Vice President Primary Research at Deutsche Bank
4167,Social Media,9,Data Scientist - Vice President Primary Research at Deutsche Bank
4168,Analytics,10,Data Scientist - Vice President Primary Research at Deutsche Bank
4169,Python,9,Data Scientist - Vice President Primary Research at Deutsche Bank
4170,SQLite,7,Data Scientist - Vice President Primary Research at Deutsche Bank
4171,HTML,1,Data Scientist - Vice President Primary Research at Deutsche Bank
4172,Microsoft Excel,4,Data Scientist - Vice President Primary Research at Deutsche Bank
4173,R,5,Data Scientist - Vice President Primary Research at Deutsche Bank
4174,Teamwork,7,Data Scientist - Vice President Primary Research at Deutsche Bank
4175,Public Speaking,10,Data Scientist - Vice President Primary Research at Deutsche Bank
4176,Data Science,8,Data Scientist - Vice President Primary Research at Deutsche Bank
4177,Python,4,Data Scientist at Airbnb
4178,Machine Learning,4,Data Scientist at Airbnb
4179,Data Analysis,5,Data Scientist at Airbnb
4180,Statistics,4,Data Scientist at Airbnb
4181,Research,1,Data Scientist at Airbnb
4182,R,4,Data Scientist at Airbnb
4183,SQL,4,Data Scientist at Airbnb
4184,MongoDB,1,Data Scientist at Airbnb
4185,Hadoop,1,Data Scientist at Airbnb
4186,Tableau,1,Data Scientist at Airbnb
4187,Geographic Information Systems (GIS),1,Data Scientist at Airbnb
4188,ArcGIS,5,Data Scientist at Airbnb
4189,MySQL,1,Data Scientist at Airbnb
4190,Spark,4,Data Scientist at Airbnb
4191,Statistics,34,Senior Data Scientist at Oracle Data Cloud
4192,Python,8,Senior Data Scientist at Oracle Data Cloud
4193,Spark,0,Senior Data Scientist at Oracle Data Cloud
4194,Data Mining,7,Senior Data Scientist at Oracle Data Cloud
4195,Actuarial Science,1,Senior Data Scientist at Oracle Data Cloud
4196,Statistical Modeling,0,Senior Data Scientist at Oracle Data Cloud
4197,SQL,1,Senior Data Scientist at Oracle Data Cloud
4198,R,24,Senior Data Scientist at Oracle Data Cloud
4199,Shiny,0,Senior Data Scientist at Oracle Data Cloud
4200,Microsoft Excel,22,Senior Data Scientist at Oracle Data Cloud
4201,SAS,8,Senior Data Scientist at Oracle Data Cloud
4202,Teaching,7,Senior Data Scientist at Oracle Data Cloud
4203,Bootstrapping,0,Senior Data Scientist at Oracle Data Cloud
4204,Linear Regression,5,Senior Data Scientist at Oracle Data Cloud
4205,Microsoft Visual Studio C++,6,Senior Data Scientist at Oracle Data Cloud
4206,Presto,0,Senior Data Scientist at Oracle Data Cloud
4207,Hive,0,Senior Data Scientist at Oracle Data Cloud
4208,Predictive Modeling,0,Senior Data Scientist at Oracle Data Cloud
4209,Data Analysis,13,Data Scientist
4210,Microsoft Office,12,Data Scientist
4211,R,3,Data Scientist
4212,Statistics,10,Data Scientist
4213,Research,6,Data Scientist
4214,Data Mining,6,Data Scientist
4215,Public Health,1,Data Scientist
4216,Biostatistics,1,Data Scientist
4217,PowerPoint,11,Data Scientist
4218,Microsoft Excel,9,Data Scientist
4219,Microsoft Word,9,Data Scientist
4220,SPSS,6,Data Scientist
4221,SAS,6,Data Scientist
4222,Latex,5,Data Scientist
4223,LaTeX,4,Data Scientist
4224,Microsoft PowerPoint,4,Data Scientist
4225,Customer Service,9,Data Scientist
4226,Teamwork,7,Data Scientist
4227,Python,65,Data Scientist (Machine/Deep Learning & AI)
4228,SQL,47,Data Scientist (Machine/Deep Learning & AI)
4229,Machine Learning,27,Data Scientist (Machine/Deep Learning & AI)
4230,Big Data,16,Data Scientist (Machine/Deep Learning & AI)
4231,Statistics,34,Data Scientist (Machine/Deep Learning & AI)
4232,Data Mining,27,Data Scientist (Machine/Deep Learning & AI)
4233,Data Analysis,17,Data Scientist (Machine/Deep Learning & AI)
4234,Financial Analysis,18,Data Scientist (Machine/Deep Learning & AI)
4235,Economics,34,Data Scientist (Machine/Deep Learning & AI)
4236,Econometrics,12,Data Scientist (Machine/Deep Learning & AI)
4237,Hadoop,30,Data Scientist (Machine/Deep Learning & AI)
4238,HTML5,12,Data Scientist (Machine/Deep Learning & AI)
4239,EViews,31,Data Scientist (Machine/Deep Learning & AI)
4240,Bloomberg,28,Data Scientist (Machine/Deep Learning & AI)
4241,Oracle Database,24,Data Scientist (Machine/Deep Learning & AI)
4242,Matlab,22,Data Scientist (Machine/Deep Learning & AI)
4243,Microsoft Excel,2,Data Scientist (Machine/Deep Learning & AI)
4244,Amazon Web Services (AWS),3,Data Scientist (Machine/Deep Learning & AI)
4245,Python (Programming Language),0,Data Scientist (Machine/Deep Learning & AI)
4246,Management,16,Data Scientist (Machine/Deep Learning & AI)
4247,French,3,Data Scientist (Machine/Deep Learning & AI)
4248,Deep Learning,28,Data Scientist (Machine/Deep Learning & AI)
4249,Qlik Sense,11,Data Scientist (Machine/Deep Learning & AI)
4250,NumPy,3,Data Scientist (Machine/Deep Learning & AI)
4251,Machine Learning,5,Data Scientist at Discovery Inc
4252,Python,1,Data Scientist at Discovery Inc
4253,Data science,0,Data Scientist at Discovery Inc
4254,Data Mining,1,Data Scientist at Discovery Inc
4255,Statistical Data Analysis,0,Data Scientist at Discovery Inc
4256,Operation Research,0,Data Scientist at Discovery Inc
4257,Econometrics,0,Data Scientist at Discovery Inc
