"","Headline","Skills","Linkedin"
"259","Data Scientist @ Bloomberg || Columbia University","C++",10
"260","Data Scientist @ Bloomberg || Columbia University","Java",4
"261","Data Scientist @ Bloomberg || Columbia University","Microsoft Office",8
"262","Data Scientist @ Bloomberg || Columbia University","Microsoft Excel",11
"265","Data Scientist @ Bloomberg || Columbia University","D3.js",2
"266","Data Scientist @ Bloomberg || Columbia University","Shiny",1
"270","Data Scientist @ Bloomberg || Columbia University","Teamwork",6
"271","Data Scientist @ Bloomberg || Columbia University","Public Speaking",2
"273","Data Scientist @ Bloomberg || Columbia University","Data Science",2
"274","Data Scientist @ Bloomberg || Columbia University","Text mining",2
"289","Senior Data Scientist at J.P. Morgan","Statistical Modeling",5
"290","Senior Data Scientist at J.P. Morgan","R",5
"291","Senior Data Scientist at J.P. Morgan","Credit Risk",4
"292","Senior Data Scientist at J.P. Morgan","Forecasting",3
"293","Senior Data Scientist at J.P. Morgan","Financial Modeling",3
"294","Senior Data Scientist at J.P. Morgan","Data Analysis",3
"295","Senior Data Scientist at J.P. Morgan","Portfolio Management",2
"296","Senior Data Scientist at J.P. Morgan","Analytics",2
"297","Senior Data Scientist at J.P. Morgan","Risk Management",2
"298","Senior Data Scientist at J.P. Morgan","Financial Risk",2
"299","Senior Data Scientist at J.P. Morgan","Financial Services",2
"300","Senior Data Scientist at J.P. Morgan","Commercial Banking",1
"301","Senior Data Scientist at J.P. Morgan","Banking",1
"304","Senior Data Scientist at J.P. Morgan","SAS",8
"310","Data Scientist at AllianceBernstein","Bloomberg",71
"311","Data Scientist at AllianceBernstein","Fixed Income",44
"312","Data Scientist at AllianceBernstein","Swaps",19
"313","Data Scientist at AllianceBernstein","Derivatives",19
"314","Data Scientist at AllianceBernstein","Banking",11
"315","Data Scientist at AllianceBernstein","Analysis",10
"316","Data Scientist at AllianceBernstein","Asset Management",7
"317","Data Scientist at AllianceBernstein","Financial Analysis",7
"318","Data Scientist at AllianceBernstein","Financial Modeling",7
"319","Data Scientist at AllianceBernstein","Investment Banking",5
"320","Data Scientist at AllianceBernstein","Technical Analysis",3
